title;summary;article_uri;account_name
看得见摸得着的智慧图书馆:智慧学习空间;2003年,芬兰图书馆学者艾托拉在《智慧图书馆: 基于位置感知的移动图书馆服务》一文中,首次提出智慧图书馆的概念.但实际上...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195350&ver=665&signature=46BFGg*1HBS-NXP4jia*6x81cdEHhAEW2iVGNave0fOqzk1FQGy4OHkYkONv-yTW3GMzVjnH9AeoZGDXGOE3t-t6SRmPqVbcF4JWlwkxxjxCVSLzmZ*cu9sxDL6ycF9z&new=1;教育装备采购网
智慧图书馆:让阅读离我们更近一步;这两个地方都分别多了一座古铜色的建筑物,钢结构的墙体还配以大面积的透明玻璃,格外引人注目,这就是我市新建的智慧图书馆....;http://mp.weixin.qq.com/s?src=11&timestamp=1517195350&ver=665&signature=r7diNKJ9X82d2FqqGgGs76Jo-vw57DOu4zEjDpSFkFE4Pu7Ah9r-WfItvC*WsyDWP-dSx0MbOr2ICvvPSodIC43rvCpzCOUSgnJRoW*meNGZAHRwy0ZW*3U*C0Uu5g3h&new=1;今日仁怀
内蒙古大学开通智慧图书馆;9月6日上午,内蒙古大学智慧图书馆正式开通,将通过新一代图书馆业务平台,从资源、服务、读者三个方面提升图书馆的服务能力,...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195350&ver=665&signature=0yDuS*ZJ5gob5yghWUmD4ggkrhtaCNHN-XoAHz6M16BnSaqS9Eaz1clvvuH8xfDg005acXCywE6r2-yLbqodmJ7v7L6IliJ0n*QafbTdbxg9FADYo3pU3vnBLbqxgkEj&new=1;内蒙古教育发布
专题 | 汇聚2017智慧图书馆论坛 共商未来智慧图书馆建设;(上海科学技术情报研究所)、上海市图书馆学会主办,《图书馆报》、上海阿法迪智能标签系统技术有限公司承办的2017智慧图书馆...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195350&ver=665&signature=oe2bapvCzZ-wfn2g24W3VOPqjC5i22qfr1tIz7wLTTP-QFzqKw6q71hXH58ylfkiadxI79*3SjLhQIVXDSZjxngveTXb656aSTw6SemwUEblvw7U0wwn-p1zLoA8vKN2&new=1;图书馆报
智慧图书馆 让你“慧”读书;华南师范大学石牌校区的图书馆经过升级改造后摇身成为馆界网红.从理论到实践,中国的智慧图书馆渐渐引来众多关注.作为未来图...;http://mp.weixin.qq.com/s?src=3&timestamp=1517195350&ver=1&signature=oOoreNH5VH30g3yYlD5YR2n71Uj1TblhxPdFaV3H7YJDOYPFfdHBIynNPNGVl1DDa1DPTRs7e42xuM9-dafsba7mrn4ZcC3ZdTXboy38tYkWJym2VEg4od78hqKGKihZt8rMOrkIVLEUI4pFXnPRvZ4ToKGZexSZeAIloCpV0rQ=;教育装备采购网
王世伟:智慧图书馆智能图书馆两者既有联系又有区别;智慧图书馆的新理念与新实践率先出现于21 世纪初欧美的一些大学图书馆和博物馆.2010 年以来,随着新一代信息技术的发展和影响...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195350&ver=665&signature=BS2kihkMIjxZKLUOAeftBGhoXTqsEnNzOKfWC3im3wptppGI7qskHTq06LvsDNQyCgPJfoFia0o0pi0q9E4z1BeDq5hLmOMkyNxeCuZSopu6kY*h4O0hRVi1FxKFXsM1&new=1;图情轩
智慧图书馆落地社区 快看看你家小区有没有!;这样的智慧图书馆,在秋林苑小区、东窑坊小区等社区都已经建立【 西安图书馆金花分馆】 2017年元月15日,碑林区政府的文化惠民...;http://mp.weixin.qq.com/s?src=3&timestamp=1517195350&ver=1&signature=7*y1oLTpDmFfuIKq1u3b9dIHUDfky4Zt9fCAOyK-ZYx1KWwfSrl3xY7P*otbY2EnA9cv8oeMaojg8V0jHuT6p5Ig3cMbEcy3xvtmN6HXsUK9xXMIvt2jbs12SayZluTd8usPg*eCTHcl-hJ7ilTUG0Y5IusdGL95RAffbD03KHA=;文明西安
融合数据、启迪智慧——2017上海市图书馆学会学术年会第一分会场纪要;骆永成的报告《与图书馆“新成员”机器人面对面》主要分为理论讲解和实际互动两个部分.在理论讲解部分介绍了智慧图书馆发展过...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195350&ver=665&signature=VUI2CH7rCPlxi9LpuPtlCKsdCeRQIU8P-gi1qq7Z38lwcSC2RC47a1H0R2szGCr2N5OjFnKBzYoY9evdQQ4vBG6ltH*Fln2Q5Ip8BKS5ssqxvR6R3XODqdBn7X0YKjSV&new=1;上海市图书馆学会
智慧图书馆“风度书房”正式启用;活动现场近千名市民见证了智慧图书馆“风度书房”的启用亮灯仪式. “风度书房”口号设计者张伟锋介绍说:“小书房,体现了'风...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195350&ver=665&signature=50XlnOZKbpPrIMcR5EK0K4346tCrVc5KAp9OqjbywY1knzWKcQ2GnuOL25ZY-KlkgmW*24H6Rze**klicMvVX1qS-5HxTKkt3Dj93jRdqk4ZuXlIG9F26XXxK3Z3DWDU&new=1;民生关注
智慧图书馆“风度书房”正式启用!工会君手把手教你自助办理借书证~;启用仪式在中山公园文化广场举行,活动现场近千名市民见证了智慧图书馆“风度书房”的启用亮灯仪式.省文化厅副厅长刘启宇,市...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195350&ver=665&signature=uOKbtIWjznK4Ahia9VA5fz-u*k2j4piz0msJy2bD7RvqjB1z2jVh29MRTqMIaVHlb2E8uW7E2PyTvmVzYqDkij5YLjlVKOo6BB0QPcKbTfUhQAK57iRtIZEbmILPvp83&new=1;韶关工会
智慧图书馆“风度书房”正式启用 开启全民阅读新篇章;由市委宣传部、市文明办、市文广新局主办的“风度书房”启用仪式在中山公园文化广场举行,活动现场近千名市民见证了智慧图书馆...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195377&ver=665&signature=DE4pYs986CORQ56uadbnZx08inaySRbExRHWmWdHoYK*KkpvZcGmUi0Q48lvGG9YWUSbdI3hq19aKT4V2ink2zGyHQFLMltPyPrQjIvlb0EXbp7xhxq7SvIpxB10CE4E&new=1;文化韶关
信昇达市场经理范崇丹:智慧图书馆方案 提升校园整体阅读气氛;2017年12月26-28日,以“展示、交流、合作、发展”为主题,由中国教育装备行业协会主办,广东省教育厅、广州市人民政府承办,...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195377&ver=665&signature=nQ851kr2638NdNsn1MsSecDSAS4q*HtUqhcW10mZ9WYIiR5oYpPK2h6olm6MiG9X0GSX5RTqWskx5BYgZgNIJWzg3gg2K2tb*KLDgqBVssYOc5VOyAeYIcRF-kSNYNhd&new=1;教备网
【创文进行时】智慧图书馆将亮相,飞来湖和江滨公园等你来;江滨公园,都多了一间外观精美极具现代感的小房子,这是由爱心企业——海港成集团投资建造的智慧图书馆.(图丨智慧图书馆效果...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195377&ver=665&signature=g31xLAzgYsy5YxvP2bryEqDGYwXruUv2EJawpsI9zebH23It*7EtqAlM2BvtAGjBqQHcuqVpDlYuE3JlI0YdaisjVgG1CcNJjtAixmS*N3e57UpF-k3KNzce29dqHdjA&new=1;清城发布
智慧图书馆与智能图书馆有何区别?;前言‍‍‍智慧图书馆的新理念与新实践率先出现于21 世纪初欧美的一些大学图书馆和博物馆.2010 年以来,随着新一代信息技术的...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195377&ver=665&signature=-q3PgQUZ3klwk-yOQNnIyXViOqyVhBDq8Ga1LlTdSUsylO*Ec4Y-ApIMNgzS76bRiTf9bQI5VMaoowW0QWMv1jUUAbeQzaOvl0PXj01vLT1f578iRSHnlurbF2l1JYaj&new=1;蜀韵郫都
广东韶关启用智慧图书馆“风度书房” 进入共享阅读新时代;活动现场近千名市民见证了智慧图书馆“风度书房”的启用亮灯仪式.图为领导嘉宾上台为“风度书房“亮灯. 该项目是韶关2017年...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195377&ver=665&signature=mY9*1-R9xPZ0nCOrSTkPqRb7TQ3FIAs0-U2neLS1GT8A4x41YROyxUZs15MMFB4sV3fgrp-dH3eQQakc0tLZO5wj*sFsX53pTLCJWRfKdPaZBV-paaeW9BCV-m7kzCof&new=1;公共文化空中大课堂
即将开放!五个智慧图书馆落户湖南永州;的良好氛围,自2017年5月份以来,永州市文体广新局积极牵头,在冷水滩城区繁华地段启动24小时智慧图书馆建设,拓迪科技参与其...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195377&ver=665&signature=pIk86W3C4nvGwCLqXzQcZhGbu2MDBu2bK-GaNW6pAJd*XVVLBXJzpjd2oszGhXz5wk7APdf-3*3gui1AHgtN*0bHlVhTPvQGQlyriIPtpZiaNnk3iguQwa3*yxamrmc-&new=1;广东省图书文化信息协会
中国人寿韶关分公司参与共建韶关市智慧图书馆“风度书房”;“风度书房”启用仪式在中山公园文化广场举行,活动现场近千名市民见证了智慧图书馆“风度书房”的启用亮灯仪式.省文化厅副厅...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195377&ver=665&signature=nJCvPKd392BtzoRyngxLaolPFpxiE0g-ZkNXfb9t3fdfKv*y52ejBIUvPG2B2WdSh6a0tM7dA-oacoCeSRnL0te4I6Q0C6EIVrQckgR39sccKrlYoFsj6My9bNEja-dK&new=1;韶关保险
张纯如智慧图书馆在淮安落成!;近日,由张纯如父母张绍进先生、张盈盈女士及张氏亲族捐资建设的、以张纯如命名的“张纯如智慧图书馆”在淮安市淮阴小学建成....;http://mp.weixin.qq.com/s?src=11&timestamp=1517195377&ver=665&signature=gs5GvP87S-cNr3xMWLaTTtDbpLlzKKGsLR-eXnaWLZA0OfIJ2nQofFCsFdcnNOi6yqSGB2PeZ8yzhI74ci2SOiAMJ3Txv1k9ji3et2REEztfosMFSZaa88MBh*XHsHAm&new=1;淮安市侨联
中科云创 | 智慧图书馆开启一个全新的阅读体验;智慧图书馆智慧图书馆是一个无人值守由读者自助借还书的24小时智能阅读空间,中科云创智慧图书馆助力智慧书城建设,倡导全民阅...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195377&ver=665&signature=pNDF9WqekjvV6efKFaUFExWpSE30OPpdsAq3gU7HjjX-gXy9ax6wK1UiATBzWYNpZeQYTy6HYGHFFb*SQ4tt3lMG5YJx5h4mXdyft1P1Pqu0tcyRc9p34PSy4Sd9WSx8&new=1;中科云创
智慧图书馆;智慧图书馆 智慧图书馆应用RFID无线射频识别技术进行图书管理和读者服务,以独特的玻璃房设计,把智慧图书馆带到校园、社区、...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195377&ver=665&signature=9wYdAWQo1DsHVtcNdCsBrQuLxTiaSbk04JlPzWz-*kPKti0ljotmvAo3YJpnA2T-ndMzQ5H9HttMoP28ET8BsXahypPk1MryPmSpglbL4Af3UaqXWTNnsGBYJwC0PLsc&new=1;新注册公众号
西安首个智慧图书馆进小区 免费自助借书看;但是由于受到图书馆的开馆时间与地理位置限制,资源量虽然丰富,但使用率很低.西安首个“智慧图书馆”亮相仁厚社区6000册书免...;http://mp.weixin.qq.com/s?src=3&timestamp=1517195400&ver=1&signature=dTwmRRHsN0YcarBLcU2Oja5F2qKSVhAv6ygH-b*VRiS1C1N*IWAX9Ny3tQwzNAd96EDwASqR2ck8xPmuyZyZ88YaKxFkpK2qF65sC2IZ9ASHkXLJsk5kwBJSXj2EL9LlMD-Ldx9jSlSO0zo0eezXwWTsq4wYkUJ-6RbR-rok6nI=;四海为家
我县图书馆拟在中国微电影城设立“智慧图书馆”;下午,秀山县图书馆馆长付红英、副馆长伍雪芳来中国微电影城与微电影城招商负责人磋商成立24小时城市智慧图书馆相关事宜. 微...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195400&ver=665&signature=tT1wWY16CxpVAgfTVH8N1q89bUX5Jz1FLGxllLnC0vP7x-8kUwW1iJRzaYAGLrgSIVqCINbXgm28I2S6U8gEQpN356mjyW1zRcqUQ2YFI3kJrKQp7JL7iDqLad7qmmxg&new=1;秀山物流园区
青岛西海岸打造24小时智慧图书馆,全民读书不打烊!;“文化引领”战略连续两年把24小时自助图书馆列入政府实事丰富群众文化生活2016年,青岛西海岸新区图书馆在东区珠江路文体中...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195400&ver=665&signature=vYWQIAUlyBhln8n9wqkKu4UeQp2LRdIr251Q7UY1ue5W58tQ1sBMiqBDpXk0-hcz4YGzrxVFeuVQrEa2mUwSvFJQrbp7dGZDs6fQW3iSgsAAtSJps1sR*QEJ27W9iRiF&new=1;青岛西海岸发布
专题 | 汇聚2017智慧图书馆论坛 共商未来智慧图书馆建设;(上海科学技术情报研究所)、上海市图书馆学会主办,《图书馆报》、上海阿法迪智能标签系统技术有限公司承办的2017智慧图书馆...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195400&ver=665&signature=oe2bapvCzZ-wfn2g24W3VOPqjC5i22qfr1tIz7wLTTP-QFzqKw6q71hXH58ylfkioLMsvgfHk5v771mfGfGlX5OaqUxrqaLjDzGvIDu6cyc02C9u75XTBHDYfMA-wAyi&new=1;图书馆报
智慧图书馆;智慧图书馆 智慧图书馆应用RFID无线射频识别技术进行图书管理和读者服务,以独特的玻璃房设计,把智慧图书馆带到校园、社区、...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195400&ver=665&signature=9wYdAWQo1DsHVtcNdCsBrQuLxTiaSbk04JlPzWz-*kPKti0ljotmvAo3YJpnA2T-6I4LUap9PsM6EYGUeKRg5tf7k1N3-GP3-RoMwMRP-rZOfyopnjcjlbjF23G*ZFs4&new=1;新注册公众号
图书馆 读书,让知识的小船升华为智慧的巨轮;沃克图书馆,美国明尼苏达州(Walker Library, Minneapolis, ... 这样的——装备齐全后一起来读书吧让知识的小船升华为智慧的巨...;http://mp.weixin.qq.com/s?src=3&timestamp=1517195400&ver=1&signature=km8uoISlBT*wDi1*NLRNU3JZt0IBv4Fj3LEkUPlTvSuSqkZcSe-h4E2MdMdXI*ZJlAGNRrrqyeQQxrfkKN47gg8DtPehQc48b9alu0Tz0ClsTj2t2EahQxUQEjbg062vg*IihVhKygi-7NeZ80NLpNGcEOYAk4QloQfH2d6Exdc=;Camera
【好消息】宝丰县首座公益智慧图书馆正式运营啦!原来,读书还可以这样高大上!;终于登陆宝丰了!这下咱宝丰市民以后看书要方便了!(宝丰县公益智慧图书馆正面)“24小时自助图书馆”是现代高新技术与图书馆...;http://mp.weixin.qq.com/s?src=3&timestamp=1517195400&ver=1&signature=DPaWkFGr*NGk0i4O4e-Iku48bjkkuTbu1sE2LrrzYhpJsTcMz-zJN3aKyUeZwqmL2vvYe8HD*qdw-VNX9iUKn-cgT-AiSCCqdfzTkJRS*4DQQA7neXpA4FD-mKMeftde6YhY22PWFmlr5yRXOt1P9BKFc3tR*8MF1Mqh1M9BA20=;宝丰文化
智慧图书馆“风度书房”正式启用!工会君手把手教你自助办理借书证~;启用仪式在中山公园文化广场举行,活动现场近千名市民见证了智慧图书馆“风度书房”的启用亮灯仪式.省文化厅副厅长刘启宇,市...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195400&ver=665&signature=uOKbtIWjznK4Ahia9VA5fz-u*k2j4piz0msJy2bD7RvqjB1z2jVh29MRTqMIaVHlvc0rMAToQkt82TnOe9A7C*CXe-JvF*zncFCQwH4cAVmUbaWQxZtKBZ2iSG0txhG3&new=1;韶关工会
智慧图书馆与智能图书馆有何区别?;前言‍‍‍智慧图书馆的新理念与新实践率先出现于21 世纪初欧美的一些大学图书馆和博物馆.2010 年以来,随着新一代信息技术的...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195400&ver=665&signature=-q3PgQUZ3klwk-yOQNnIyXViOqyVhBDq8Ga1LlTdSUsylO*Ec4Y-ApIMNgzS76bRbvRspF1Y-JyFAr5alK72chYL-GSOhMOsHlm6LttqQjyFZu9iHPFssh-sq-aBZSAi&new=1;蜀韵郫都
智慧图书馆与智能图书馆的区别;在图书馆工作有一些时间了,有读者时常会问:“智慧图书馆“与”智能图书馆“有什么区别?笔者认为:智慧图书馆包含数字图书馆...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195400&ver=665&signature=YPp8rmUs1artKQSGkY6cXxeHcuswGNZY4fdnrKF0de4Z4V*KWZhNL8FYEXw3w3YV1rK-3SB4gL6jwsPd*H9pC*bpZqFlAepRBVDfnrqVNHDT6DRm02TrlCIE9NDiXHoJ&new=1;儋州图书馆
【比较与借鉴】智慧图书馆与智慧档案馆研究比较;摘要:从总体趋势、研究热点与趋势上对智慧图书馆与智慧档案馆研究情况进行了比较,得出综上,智慧档案馆与智慧图书馆在研究上...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195427&ver=665&signature=v0wIFDejtshnMFgtIGhCqhBKuGgmLxWv7*oYHjiQrtBo9gpRWNF*RLfPn9NayTM-Gab1P1eLtnqMdX6kc2kQGev1pFX6zikCAATAejhATJL4YSOO8VtlS-DVijShxJMd&new=1;档案工作
学院引进数字阅读机,为智慧图书馆添亮色;数字阅读机的引进使用为我院图书馆实现读者自助、随时随地、有声有色、触手可及、灵活感知、泛在智能的智慧图书馆增添一抹亮色...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195427&ver=665&signature=z4lGKMPxz9Q5hv3E5lpfYnDrnRsLUguuK20CZ27JhnKqTJEgLmM-c1dFIdmCoERE-GFtl-vuVO9OP4jLXphmDZpvwZgSjA*cqgoVCWj78MmqwQEnAZww0CG4B9KexUTU&new=1;书香水院
中图智慧图书馆“全新”亮相第73届中国教育装备展示会;在本届展会上,中图携手新华打造引领新时代阅读潮流的智慧图书馆. 在本届中国教育装备展示会上,中图以大数据展示区、云平台展...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195427&ver=665&signature=ueWfsVWSqPJuM0*A5qpV9Ewqt-8KFj66XcwEJqzLRsvumLZGsqfdpWDT-XiZzvZSuGXz4alDeR1XRx6VL56f6qewdkuw6ocXonqykJxqfRbWX0sDvMzOEkXxl7mV2th6&new=1;深圳市中图信息技术有限公司
打造智慧图书馆:市图书馆建设大数据服务平台;来源:汕头市图书馆 文化汕头 STWGXJ;http://mp.weixin.qq.com/s?src=11&timestamp=1517195427&ver=665&signature=V9mO9LpT95LY8*OLKeaSojN0lHkPYb8gn8hGWSMJMuLZbStXC7vB1bckt0rpcrnQb-ZCxFJJrh2x4GiLjTN-IEB6KoMRNVDqAjSBvhTr*sGZfsQpqqVEQwBPP*qm9E0S&new=1;文化汕头
【福利】青岛西海岸24小时智慧图书馆,全民读书不打烊!;“文化引领”战略连续两年把24小时自助图书馆列入政府实事丰富群众文化生活2016年,青岛西海岸新区图书馆在东区珠江路文体中...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195427&ver=665&signature=553LY*4YKn*BRnamZFJiLRuyarJ7W0Nog6Qv9EDpoCOSPmr4*Mcss0VpBPzFNtMHL9ABhvqGR8thROmajM7q8faV27B33ZSRDQRtS57wnMTXn8LFKwSVgrPT30iljN2-&new=1;爱我黄岛
文明风尚|智慧图书馆:让阅读离我们更近一步;这两个地方都分别多了一座古铜色的建筑物,钢结构的墙体还配以大面积的透明玻璃,格外引人注目,这就是我市新建的智慧图书馆....;http://mp.weixin.qq.com/s?src=11&timestamp=1517195427&ver=665&signature=Swg0GdMzhXVhwwtyXs3WucyI1ZROIjDHJ3HrYc*k1DrWiJMYaeKINEZfp7*qiKksn8hSqapKH-iGdTNW13tOxDRGgpT4CLNZhngtJxWMY6IDZ1y6rLHORznznG3dij8W&new=1;文明仁怀
全省首家县级24小时智慧图书馆“亮相”霸州;旁边是自助借还机和还书箱.此外,馆内还设有阅报栏、饮水机等便民服务设施. 24小时智慧图书馆的“智慧”之处还体现在智能家...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195427&ver=665&signature=g4TFGLSaCzvFNkqdclW0L4XOQzh1J6-GQZV89PTDdaN7WyQlVQQvJorSSakAd4qx8NWvKI8R5KUoJXS7y8kWoC6MsE-T6JYeihKyli-9zd1-1XbX2fCQN32k6EJx67zL&new=1;霸州微视界
专题 |【 图书馆未来的样子】——“智慧图书馆”(五);数字化、网络化和智能化是智慧图书馆的技术基础,人、物互联是智慧图书馆的核心构成,从而实现由知识服务向智慧服务的提升....;http://mp.weixin.qq.com/s?src=11&timestamp=1517195427&ver=665&signature=6Lwtyqh8hj3nFI3zu3QzMGPm4YGKD26bKs7xdBlxoZ-XEfQ7XNRCLOgfxRRjgrmTltF4QJ9NA69bUd*ObuclUbpBBV0b8dajkHXvOWdcVUsz*yt1w3FdTKP1mzLWtamM&new=1;软通动力创新体验中心
智慧图书馆及其服务模式的构建;在图书馆界,继复合图书馆、数字图书馆之后,以信息技术为基础,以数字化、网络化和智能化为标志的智慧图书馆正在走进人们的视...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195427&ver=665&signature=ueWfsVWSqPJuM0*A5qpV9Ewqt-8KFj66XcwEJqzLRssI5syZsDqxX*qK*o7u4EutOfWxEs2*c2*NAxEK2NekISBIGcRLMFzmXE2ecJosl4VtHGDY84TaScrNfr*WOtWK&new=1;深圳市中图信息技术有限公司
智慧图书馆大数据展示平台;博兴县图书馆智慧图书馆大数据展示系统已正式对外公开运行,本系统具有揭示进出馆人次、图书流通、上月借还数据统计、公示模板...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195427&ver=665&signature=huD*gPC1h9gyOFSycI60HHa1BWo3cjtEZXlEMVGBv7w9MGm2XDvRKPlfetCY*rtDxkvxAQRofBEq46MOF6nY7om97Wkc7nCSFMmBE01xew24NRy*hYS179DqthEUdtbt&new=1;博兴县图书馆
“小雨点”智慧营地——和平区少年儿童图书馆文化志愿者走进逸阳梅江湾国际学校;天津市和平区少年儿童图书馆“小雨点”志愿服务团队的文化志愿... (同学们与老师热情互动)“小雨点”智慧营地和“小雨点”志愿...;http://mp.weixin.qq.com/s?src=11&timestamp=1517195453&ver=665&signature=-a**yB-z9T9B9*4Pk35bWwZuYa*W9VU*P0RoLiy5mhgVrYO8U5r9sBu1uI5jCduqA-ys7nYpkRXiZBtLq3cAQJp34PXhXmWyo1zApOHCNR*R0-451HMuyHjTj4ulFKGn&new=1;和平文化旅游局
